name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,35.0,697.3023934364319,8463.0,0.125,0.0
object_semantics-object_semantics_history-preference,37.666666666666664,237.2516163190206,1674.0,0.3095238095238095,0.0
object_semantics-object_semantics_history-ownership,36.0,347.5414402484894,4215.5,0.6,0.5
object_semantics-object_semantics_group-preference,18.0,1050.184886932373,9999.0,0.2,0.0
object_semantics-user_pattern_history-preference,34.0,472.0487202167511,4035.6,0.4866666666666667,0.2
object_semantics-user_pattern_history-routine,41.0,340.2214276790619,805.0,0.0,0.0
object_semantics-user_pattern_group-preference,27.333333333333332,211.27131954828897,3289.3333333333335,0.6444444444444445,0.3333333333333333
object_semantics-user_pattern_preference-preference,27.0,211.42943811416623,1637.0,0.6,0.0
object_semantics-user_pattern_preference-routine,41.0,289.4195730686188,3148.0,0.5,0.0
object_semantics-user_pattern_ownership-preference,29.0,687.6771259307861,9996.0,0.0,0.0
user_pattern-user_pattern_preference-preference,31.714285714285715,276.8605624948229,3330.0,0.5673469387755102,0.2857142857142857
user_pattern-user_pattern_preference-routine,24.0,751.3224790891012,8816.0,0.37777777777777777,0.0
user_pattern-user_pattern_routine-routine,39.5,266.32546043395996,3093.0,0.5,0.5
object_semantics-object_semantics_total,34.125,481.45342540740967,5047.25,0.3223214285714286,0.125
object_semantics-user_pattern_total,32.5,376.90042704343796,3802.6666666666665,0.4555555555555555,0.16666666666666666
user_pattern-user_pattern_total,31.083333333333332,393.7201912999153,4662.0,0.5087301587301587,0.25
total_results,32.333333333333336,404.9706412686242,4465.583333333333,0.40231481481481485,0.16666666666666666
