name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,35.0,447.35796654224396,5768.0,0.41666666666666663,0.0
object_semantics-object_semantics_history-preference,36.0,193.35414473215738,2093.0,0.40873015873015867,0.0
object_semantics-object_semantics_history-ownership,23.0,195.71032667160037,2669.0,0.5,0.5
object_semantics-object_semantics_group-preference,32.0,524.1764070987701,3967.0,0.6,0.0
object_semantics-user_pattern_history-preference,31.8,294.5085968017578,3166.2,0.5366666666666667,0.2
object_semantics-user_pattern_history-routine,41.0,182.4130256175995,2909.0,0.6666666666666666,0.0
object_semantics-user_pattern_group-preference,35.666666666666664,250.70612915356955,4450.333333333333,0.5095238095238095,0.0
object_semantics-user_pattern_preference-preference,33.0,267.4161355495453,4047.0,0.4,0.0
object_semantics-user_pattern_preference-routine,28.0,212.58533358573916,2793.0,0.125,0.0
object_semantics-user_pattern_ownership-preference,25.0,250.0407567024231,3240.0,0.1666666666666666,0.0
user_pattern-user_pattern_preference-preference,24.571428571428573,181.48990290505546,2773.285714285714,0.5877551020408163,0.2857142857142857
user_pattern-user_pattern_preference-routine,17.0,368.733038187027,4761.666666666667,0.4666666666666666,0.3333333333333333
user_pattern-user_pattern_routine-routine,27.5,226.4462467432022,3837.0,0.38095238095238093,0.0
object_semantics-object_semantics_total,32.0,298.79692846536636,3390.0,0.4574404761904762,0.125
object_semantics-user_pattern_total,32.75,261.4263852437337,3514.25,0.46418650793650795,0.08333333333333333
user_pattern-user_pattern_total,23.166666666666668,235.79341069857279,3447.6666666666665,0.523015873015873,0.25
total_results,29.72222222222222,256.4073771370782,3418.75,0.48283730158730165,0.16666666666666666
