name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics_history,15.333333333333334,263.76749618848163,4167.333333333333,0.6481481481481481,0.5555555555555556
object_semantics_group,23.5,551.8026844263077,6230.5,0.5,0.5
object_semantics_preference,15.8,120.21931529045105,1766.2,0.4,0.2
object_semantics_ownership,19.0,150.96655178070068,2697.0,1.0,1.0
user_pattern_preference,17.09090909090909,264.14738316969436,4442.272727272727,0.2727272727272727,0.2727272727272727
user_pattern_routine,11.0,210.11708211898804,2681.0,1.0,1.0
object_semantics_total,16.647058823529413,248.79858604599448,3617.3529411764707,0.5784313725490196,0.47058823529411764
user_pattern_total,16.153846153846153,255.8350291618934,4171.307692307692,0.38461538461538464,0.38461538461538464
total_results,16.433333333333334,251.84771139621733,3857.4,0.49444444444444446,0.43333333333333335
